"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","PRECISION","DECIMALS_DISPLAYED","DERIVATION_TYPE","OVERLAP","IFS_FLAG","STATUS","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SOURCE"
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2011-Q1","111855.211","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2011-Q2","119702.007","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2011-Q3","126617.917","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2011-Q4","132077.33","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2012-Q1","122425.934","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2012-Q2","133650.323","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2012-Q3","135730.078","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2012-Q4","143945.947","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2013-Q1","142171.472","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2013-Q2","155035.006","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2013-Q3","161763.948","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2013-Q4","173277.84","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2014-Q1","167055.837","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2014-Q2","178632.794","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2014-Q3","188384.042","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2014-Q4","194340.482","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2015-Q1","197973.317","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2015-Q2","216487.768","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2015-Q3","233001.229","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2015-Q4","230410.099","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2016-Q1","234485.14237874","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2016-Q2","249303.1833498","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2016-Q3","246510.10718827","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2016-Q4","282309.70703762","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q1","300113.27319867","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q2","315657.48778757","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q3","327304.57562458","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q4","343902.57752731","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2018-Q1","343410.27815457","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2018-Q2","392223.71849145","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2018-Q3","429988.89123318","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2018-Q4","398390.19441008","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2019-Q1","482963.28186376","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2019-Q2","515110.01361829","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2019-Q3","549381.34465621","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2019-Q4","617942.3400535","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2020-Q1","728870.27204288","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2020-Q2","941708.20605417","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2020-Q3","1069524.78217784","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2020-Q4","1072091.388","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2021-Q1","1117464.50415384","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2021-Q2","1230051.61820027","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2021-Q3","1313609.66599825","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2021-Q4","1934125.18578611","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2022-Q1","2079837.35870625","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2022-Q2","2341336.53731271","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2022-Q3","2544408.456","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2022-Q4","2801472.366","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2023-Q1","3127126.883","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2023-Q2","3719110.846","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2023-Q3","4194840.22682691","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2023-Q4","4496843.69791545","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2024-Q1","5357288.30476423","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2024-Q2","5477073.15830258","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2024-Q3","6440796.56708811","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2024-Q4","7004485.78126773","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2025-Q1","7309255.0434839","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2025-Q2","8237496.92373395","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2025-Q3","9330263.28693574","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2011-Q1","1006549.199926739","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2011-Q2","1073980.232644375","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2011-Q3","1226249.219071175","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2011-Q4","1321946.52112983","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2012-Q1","1313138.878063533","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2012-Q2","1305180.255705174","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2012-Q3","1339178.518967795","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2012-Q4","1505015.815383916","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2013-Q1","1541790.58792648","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2013-Q2","1443458.986981134","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2013-Q3","1535024.465918767","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2013-Q4","1640989.425374228","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2014-Q1","1652687.376575653","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2014-Q2","1746085.731567736","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2014-Q3","1758812.289453756","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2014-Q4","1785170.784770597","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2015-Q1","1891313.589282558","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2015-Q2","1832986.915326109","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2015-Q3","1808511.269900535","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2015-Q4","1827334.143694191","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2016-Q1","1854924.669410925","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2016-Q2","1878173.862271404","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2016-Q3","1899794.058685346","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2016-Q4","1885695.578433396","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
