"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","PRECISION","DECIMALS_DISPLAYED","DERIVATION_TYPE","OVERLAP","IFS_FLAG","STATUS","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SOURCE"
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2017-Q1","2182049.339127243","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2017-Q2","2154848.82505926","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2017-Q3","2111407.542851756","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2017-Q4","2156279.413922916","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2018-Q1","2176812.520485254","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2018-Q2","2065106.539046246","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2018-Q3","1989407.175542859","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2018-Q4","2102233.736909991","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2019-Q1","2095718.152360059","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2019-Q2","2171323.140882063","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2019-Q3","2157536.107682185","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2019-Q4","2273561.538115356","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2020-Q1","2716229.364178878","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2020-Q2","2795899.285846004","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2020-Q3","2893708.510999457","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2020-Q4","3972869.723022111","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2021-Q1","4602768.809960729","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2021-Q2","5176472.859887859","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2021-Q3","5933190.462402968","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2021-Q4","6055910.122735157","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2022-Q1","6061667.718521396","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2022-Q2","6172538.217913863","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2022-Q3","6356308.778945049","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2022-Q4","6372936.179031352","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2023-Q1","6525484.798616699","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2023-Q2","6238553.352300475","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2023-Q3","5931124.221420545","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2023-Q4","5908683.356208798","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2024-Q1","6199187.378766858","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2024-Q2","6079409.909176094","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2024-Q3","6124667.516431678","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2024-Q4","6468145.22847018","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2025-Q1","6871159.117133277","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2011-Q1","742057","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2011-Q2","742595","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2011-Q3","735120","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2011-Q4","736085","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2012-Q1","711211","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2012-Q2","709449","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2012-Q3","716364","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2012-Q4","731945","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2013-Q1","737679","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2013-Q2","737724","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2013-Q3","736966","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2013-Q4","753282","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2014-Q1","759259","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2014-Q2","772654","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2014-Q3","791541","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2014-Q4","821435","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2015-Q1","828504","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2015-Q2","846996","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2015-Q3","856984","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2015-Q4","891700","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2016-Q1","898749","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2016-Q2","917142","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2016-Q3","933743","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2016-Q4","987865","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2017-Q1","979578","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2017-Q2","996383","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2017-Q3","1027085","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2017-Q4","1059756","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2018-Q1","1071086","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2018-Q2","1101349","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2018-Q3","1106156","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2018-Q4","1109803","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2019-Q1","1122396","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2019-Q2","1149707","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2019-Q3","1163641","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2019-Q4","1182391","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2020-Q1","1204101","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2020-Q2","1231318","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2020-Q3","1279885","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2020-Q4","1348719","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2021-Q1","1356623","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2021-Q2","1394274","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2021-Q3","1412565","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2021-Q4","1480122","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2022-Q1","1456926","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2022-Q2","1465174","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2022-Q3","1461205","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2022-Q4","1457596","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2023-Q1","1368662","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2023-Q2","1336385","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2023-Q3","1339087","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2023-Q4","1343769","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2024-Q1","1312870","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2024-Q2","1346253","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2024-Q3","1316877","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2024-Q4","1363633","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2025-Q1","1342649","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"","","Seasonally adjusted (SA), Euro","","","","","","","","","","","","","",""
"","","Percent change, corresponding period, previous year","","","","","","","","","","","","","",""
"","","Seasonally adjusted (SA), US dollar","","","","","","","","","","","","","",""
"","","Ratio of monetary base to broad money, percent per annum, Percent","","","","","","","","","","","","","",""
"","","Seasonally adjusted factors, Index","","","","","","","","","","","","","",""
"","","Seasonally adjusted (SA), Domestic currency","","","","","","","","","","","","","",""
